competence,cluster,score,description
Organisatorische vaardigheden,Oplossingsmethodiek,Insufficient,"De oplossingsmethodiek is onvoldoende uitgewerkt of afwezig. De student werkt slordig, chaotisch en onvoorbereid, wat resulteert in weinig bruikbare resultaten. De student slaagt er onvoldoende in om de methodiek bij te sturen of te anticiperen op onvoorziene omstandigheden."
Organisatorische vaardigheden,Oplossingsmethodiek,Sufficient,"De oplossingsmethodiek is realistisch en de student werkt enigszins georganiseerd waardoor bruikbare resultaten verkregen worden. De student vertoont voldoende flexibiliteit om in te spelen op verandering."
Organisatorische vaardigheden,Oplossingsmethodiek,Good,"De oplossingsmethodiek is solide en de student werkt systematisch waardoor accurate en nauwkeurige resultaten verkregen worden. De student stuurt bij waar nodig."
Organisatorische vaardigheden,Oplossingsmethodiek,Very Good,"De oplossingsmethodiek is solide en de student werkt systematisch waardoor accurate en nauwkeurige resultaten verkregen worden. De student stuurt bij waar nodig."
Organisatorische vaardigheden,Oplossingsmethodiek,Excellent,"De oplossingsmethodiek is solide en proactief en is afgestemd op de verkregen resultaten. De student werkt systematisch waardoor accurate en nauwkeurige resultaten verkregen worden. De student speelt vlot in op onvoorziene omstandigheden."
Kwaliteit methodiek,Oplossingsmethodiek,Weak,De student maakt fouten tegen de gangbare oplossingsmethodieken binnen het vakgebied.
Kwaliteit methodiek,Oplossingsmethodiek,Insufficient,De student maakt fouten tegen de gangbare oplossingsmethodieken binnen het vakgebied.
Kwaliteit methodiek,Oplossingsmethodiek,Sufficient,De student beperkt zich tot de gangbare oplossingsmethodieken.
Kwaliteit methodiek,Oplossingsmethodiek,Good,De student past de gangbare oplossingsmethodieken binnen het vakgebied consequent aan de voorliggende probleemstelling aan.
Kwaliteit methodiek,Oplossingsmethodiek,Very Good,De student past de gangbare oplossingsmethodieken binnen het vakgebied consequent aan de voorliggende probleemstelling aan.
Kwaliteit methodiek,Oplossingsmethodiek,Excellent,De student stuurt de gangbare oplossingsmethodieken binnen het vakgebied creatief en kritisch bij.
Kennis toepassen,Kennistoepassing,Weak,De student beheerst de discipline onvoldoende en slaagt er te beperkt in relevante kennis op de probleemstelling toe te passen.
Kennis toepassen,Kennistoepassing,Insufficient,De student beheerst de discipline onvoldoende en slaagt er te beperkt in relevante kennis op de probleemstelling toe te passen.
Kennis toepassen,Kennistoepassing,Sufficient,De student beheerst de discipline voldoende. Toepassing van relevante kennis op de probleemstelling is beperkt.
Kennis toepassen,Kennistoepassing,Good,De student beheerst de discipline in grote mate en slaagt er vlot in relevante kennis op de probleemstelling toe te passen.
Kennis toepassen,Kennistoepassing,Very Good,De student beheerst de discipline in grote mate en slaagt er vlot in relevante kennis op de probleemstelling toe te passen.
Kennis toepassen,Kennistoepassing,Excellent,De student combineert geavanceerde kennis binnen de discipline en past die overtuigend toe op de probleemstelling.
Implementatie,Kennistoepassing,Weak,De implementatie voldoet niet aan de verwachtingen en het ontbreekt aan degelijke testen.
Implementatie,Kennistoepassing,Insufficient,De implementatie voldoet niet aan de verwachtingen en het ontbreekt aan degelijke testen.
Implementatie,Kennistoepassing,Sufficient,De implementatie voldoet net aan de verwachtingen en werd beperkt getest.
Implementatie,Kennistoepassing,Good,De implementatie werkt naar behoren en werd afdoende getest.
Implementatie,Kennistoepassing,Very Good,De implementatie werkt naar behoren en werd afdoende getest.
Implementatie,Kennistoepassing,Excellent,De implementatie is erg performant en werd uitvoerig beproefd.
Conceptueel denken,Probleemoplossend denken,Weak,"De student slaagt er onvoldoende in het gepaste abstractieniveau te identificeren bij het uitwerken van een methodiek of het ontwerpen van producten of processen."
Conceptueel denken,Probleemoplossend denken,Insufficient,"De student slaagt er onvoldoende in het gepaste abstractieniveau te identificeren bij het uitwerken van een methodiek of het ontwerpen van producten of processen."
Conceptueel denken,Probleemoplossend denken,Sufficient,De student verkent enkel bij het uitwerken van de methodiek een gepast niveau van abstractie.
Conceptueel denken,Probleemoplossend denken,Good,"De student neemt een gepast niveau van abstractie mee bij het uitwerken van de methodiek en zoekt dit soms ook op bij het ontwerpen van producten of processen."
Conceptueel denken,Probleemoplossend denken,Very Good,"De student neemt een gepast niveau van abstractie mee bij het uitwerken van de methodiek en zoekt dit soms ook op bij het ontwerpen van producten of processen."
Conceptueel denken,Probleemoplossend denken,Excellent,"De student redeneert spontaan en vlot op verschillende abstractieniveaus bij het ontwerpen van producten of processen en het uitwerken van een methodiek."
Omgaan met onzekerheid,Probleemoplossend denken,Weak,De student gaat voorbij aan de variabele context en slaagt er onvoldoende in om er een bijhorende oplossingsstrategie aan te verbinden.
Omgaan met onzekerheid,Probleemoplossend denken,Insufficient,De student gaat voorbij aan de variabele context en slaagt er onvoldoende in om er een bijhorende oplossingsstrategie aan te verbinden.
Omgaan met onzekerheid,Probleemoplossend denken,Sufficient,De student integreert de variabele context minimaal en komt mits ondersteuning tot de gedeeltelijke uitwerking van oplossingsstrategieën.
Omgaan met onzekerheid,Probleemoplossend denken,Good,De student capteert de variabele context en voorziet een degelijke uitwerking van bijhorende oplossingsstrategieën.
Omgaan met onzekerheid,Probleemoplossend denken,Very Good,De student capteert de variabele context en voorziet een degelijke uitwerking van bijhorende oplossingsstrategieën.
Omgaan met onzekerheid,Probleemoplossend denken,Excellent,De student weet de variabele context op een omvattende en creatieve manier te integreren en werkt bijhorende oplossingsstrategieën op een uitstekende wijze uit.
Motiveren van keuzes,Resultaten & communicatie,Weak,"De onderbouwing van redeneringen is onvoldoende consistent of te oppervlakkig en het ontbreekt de argumentatie aan overtuigingskracht."
Motiveren van keuzes,Resultaten & communicatie,Insufficient,"De onderbouwing van redeneringen is onvoldoende consistent of te oppervlakkig en het ontbreekt de argumentatie aan overtuigingskracht."
Motiveren van keuzes,Resultaten & communicatie,Sufficient,De student onderbouwt gemaakte keuzes in voldoende mate. De argumentatie is voor verbetering vatbaar.
Motiveren van keuzes,Resultaten & communicatie,Good,De redeneringen van de student zijn overwegend duidelijk en voorzien van relevante en heldere argumenten.
Motiveren van keuzes,Resultaten & communicatie,Very Good,De redeneringen van de student zijn overwegend duidelijk en voorzien van relevante en heldere argumenten.
Motiveren van keuzes,Resultaten & communicatie,Excellent,De student onderbouwt gemaakte keuzes met uitstekende redeneringen en voorziet een duidelijke argumentatie van hoog niveau die relevant is en overtuigt.
Kritische verwerking,Resultaten & communicatie,Weak,De student reflecteert in onvoldoende mate over de eigen resultaten en gaat voorbij aan elke vorm van validatie.
Kritische verwerking,Resultaten & communicatie,Insufficient,De student reflecteert in onvoldoende mate over de eigen resultaten en gaat voorbij aan elke vorm van validatie.
Kritische verwerking,Resultaten & communicatie,Sufficient,De student beperkt zich tot een basis aan kritische reflectie over de eigen resultaten. Ook m.b.t. validatie worden slechts beperkte stappen gezet.
Kritische verwerking,Resultaten & communicatie,Good,De student reflecteert naar behoren over de eigen resultaten en voorziet een accurate validatie.
Kritische verwerking,Resultaten & communicatie,Very Good,De student reflecteert naar behoren over de eigen resultaten en voorziet een accurate validatie.
Kritische verwerking,Resultaten & communicatie,Excellent,Bij de verwerking en validatie van eigen resultaten legt de student steeds kritische zin aan de dag en houdt daarbij steevast de onderzoeksvraag als einddoel voor ogen.
Heldere communicatie,Resultaten & communicatie,Weak,"De student communiceert onduidelijk en heeft moeite met het overbrengen van ideeën. De communicatie is niet logisch opgebouwd en kent onvoldoende samenhang."
Heldere communicatie,Resultaten & communicatie,Insufficient,"De student communiceert onduidelijk en heeft moeite met het overbrengen van ideeën. De communicatie is niet logisch opgebouwd en kent onvoldoende samenhang."
Heldere communicatie,Resultaten & communicatie,Sufficient,De student communiceert voldoende helder maar de communicatie mist soms precisie en logica in opbouw.
Heldere communicatie,Resultaten & communicatie,Good,"De student communiceert helder, met oog voor detail en logische opbouw."
Heldere communicatie,Resultaten & communicatie,Very Good,"De student communiceert helder, met oog voor detail en logische opbouw."
Heldere communicatie,Resultaten & communicatie,Excellent,"De student communiceert zeer helder en met veel oog voor structuur en detail. De communicatie is vlot, duidelijk opgebouwd en logisch samenhangend."
Organisatie & planning,Professioneel werken,Weak,De student komt regelmatig afspraken niet na en mist vaak deadlines zonder geldige reden. De rapportering is minimaal.
Organisatie & planning,Professioneel werken,Insufficient,De student komt regelmatig afspraken niet na en mist vaak deadlines zonder geldige reden. De rapportering is minimaal.
Organisatie & planning,Professioneel werken,Sufficient,De student komt soms afspraken niet na en mist af en toe deadlines zonder geldige reden. De rapportering is beperkt.
Organisatie & planning,Professioneel werken,Good,De student komt afspraken na en mist nooit deadlines zonder geldige reden. De rapportering is relevant en goed uitgewerkt.
Organisatie & planning,Professioneel werken,Very Good,De student komt afspraken na en mist nooit deadlines zonder geldige reden. De rapportering is relevant en goed uitgewerkt.
Organisatie & planning,Professioneel werken,Excellent,De student is steeds punctueel in het nakomen van afspraken en haalt vlot alle deadlines. De rapportering is volledig en functioneel.
Attitude,Professioneel werken,Weak,"De student toont weinig tot geen motivatie en initiatief. De student werkt slordig, voert hoogstens uit wat de begeleiders vragen en houdt te weinig of geen rekening met de werkomgeving."
Attitude,Professioneel werken,Insufficient,"De student toont weinig tot geen motivatie en initiatief. De student werkt slordig, voert hoogstens uit wat de begeleiders vragen en houdt te weinig of geen rekening met de werkomgeving."
Attitude,Professioneel werken,Sufficient,"De student is gemotiveerd maar neemt weinig initiatief. Coaching van de begeleiders wordt beperkt aangegrepen om vooruitgang te boeken. Er is voldoende respect voor de werkomgeving."
Attitude,Professioneel werken,Good,"De student is gemotiveerd en neemt initiatief. De student maakt gebruik van de coaching van de begeleiders en komt hierdoor tot zelfstandigheid. De student houdt steeds rekening met de werkomgeving."
Attitude,Professioneel werken,Very Good,"De student is gemotiveerd en neemt initiatief. De student maakt gebruik van de coaching van de begeleiders en komt hierdoor tot zelfstandigheid. De student houdt steeds rekening met de werkomgeving."
Attitude,Professioneel werken,Excellent,"De student is zeer gemotiveerd, werkt zorgvuldig en respecteert de werkomgeving. De student werkt zelfstandig, toont zin voor initiatief en neemt de rol van de 'projecteigenaar' op."
Maatschappelijke reflectie,Maatschappelijke reflectie,Weak,"De reflectie is onvoldoende gestructureerd en te oppervlakkig. Maatschappelijke uitdagingen worden amper in verband gebracht met de voorliggende probleemstelling of methodologie."
Maatschappelijke reflectie,Maatschappelijke reflectie,Insufficient,"De reflectie is onvoldoende gestructureerd en te oppervlakkig. Maatschappelijke uitdagingen worden amper in verband gebracht met de voorliggende probleemstelling of methodologie."
Maatschappelijke reflectie,Maatschappelijke reflectie,Sufficient,De reflectie is gestructureerd en snijdt één of meerdere maatschappelijke invalshoeken aan vanuit een beperkte analyse.
Maatschappelijke reflectie,Maatschappelijke reflectie,Good,"De reflectie is goed gestructureerd, beschouwt het werk vanuit één of meerdere maatschappelijke invalshoeken en getuigt van een gedegen analyse."
Maatschappelijke reflectie,Maatschappelijke reflectie,Very Good,"De reflectie is goed gestructureerd, beschouwt het werk vanuit één of meerdere maatschappelijke invalshoeken en getuigt van een gedegen analyse."
Maatschappelijke reflectie,Maatschappelijke reflectie,Excellent,"De reflectie is kritisch opgebouwd en brengt het werk inzichtelijk in verband met één of meerdere maatschappelijke invalshoeken. Ze getuigt van een diepgaande analyse en bevat suggesties tot verbetering."
Omgang met feedback,Zelfkritisch handelen,Weak,De student toont te weinig of geen bereidheid om feedback te accepteren of te gebruiken.
Omgang met feedback,Zelfkritisch handelen,Insufficient,De student toont te weinig of geen bereidheid om feedback te accepteren of te gebruiken.
Omgang met feedback,Zelfkritisch handelen,Sufficient,De student reageert over het algemeen goed op feedback en laat beperkte verbetering zien bij de verwerking.
Omgang met feedback,Zelfkritisch handelen,Good,De student reageert goed op feedback en implementeert de meeste suggesties voor verbetering.
Omgang met feedback,Zelfkritisch handelen,Very Good,De student reageert goed op feedback en implementeert de meeste suggesties voor verbetering.
Omgang met feedback,Zelfkritisch handelen,Excellent,De student reageert constructief op feedback en implementeert suggesties voor verbetering zeer effectief en nauwkeurig.
Zelfreflectie,Zelfkritisch handelen,Weak,De student beschikt over een minimale zelfreflectie en kan persoonlijke beperkingen of fouten moeilijk erkennen.
Zelfreflectie,Zelfkritisch handelen,Insufficient,De student beschikt over een minimale zelfreflectie en kan persoonlijke beperkingen of fouten moeilijk erkennen.
Zelfreflectie,Zelfkritisch handelen,Sufficient,"De student beschikt over een redelijke zelfreflectie en inzicht in persoonlijke beperkingen of fouten. Er is bereidheid tot verbetering."
Zelfreflectie,Zelfkritisch handelen,Good,De student beschikt over een goede zelfreflectie. Erkenning van persoonlijke beperkingen en fouten leidt tot actieve betrokkenheid bij verbetering.
Zelfreflectie,Zelfkritisch handelen,Very Good,De student beschikt over een goede zelfreflectie. Erkenning van persoonlijke beperkingen en fouten leidt tot actieve betrokkenheid bij verbetering.
Zelfreflectie,Zelfkritisch handelen,Excellent,"De student beschikt over een uitstekende zelfreflectie, evalueert het eigen functioneren diepgaand en koppelt hier effectieve strategieën voor persoonlijke en professionele groei aan."
Wetenschappelijke integriteit,Integriteit & ethiek,Weak,"De student besteedt onvoldoende zorg aan een correcte verwerking van gegevens en er ontbreken cruciale elementen om de eigenheid van de resultaten te verifiëren."
Wetenschappelijke integriteit,Integriteit & ethiek,Insufficient,"De student besteedt onvoldoende zorg aan een correcte verwerking van gegevens en er ontbreken cruciale elementen om de eigenheid van de resultaten te verifiëren."
Wetenschappelijke integriteit,Integriteit & ethiek,Sufficient,"De student refereert correct, besteedt voldoende zorg aan een correcte verwerking van gegevens en de verifieerbaarheid van resultaten."
Wetenschappelijke integriteit,Integriteit & ethiek,Good,De student refereert correct en voorziet een goede en transparante verwerking van gegevens met het oog op reproductie van resultaten.
Wetenschappelijke integriteit,Integriteit & ethiek,Very Good,De student refereert correct en voorziet een goede en transparante verwerking van gegevens met het oog op reproductie van resultaten.
Wetenschappelijke integriteit,Integriteit & ethiek,Excellent,De student levert spontaan en consistent bewijs van transparantie en verantwoordelijkheid in alle aspecten van het onderzoek.
Ethisch handelen,Integriteit & ethiek,Weak,De student heeft te weinig oog voor ethische overwegingen of richtlijnen.
Ethisch handelen,Integriteit & ethiek,Insufficient,De student heeft te weinig oog voor ethische overwegingen of richtlijnen.
Ethisch handelen,Integriteit & ethiek,Sufficient,De student neemt ethische overwegingen ter harte en volgt ethische richtlijnen op.
Ethisch handelen,Integriteit & ethiek,Good,De student heeft oog voor ethische overwegingen en volgt ethische richtlijnen op.
Ethisch handelen,Integriteit & ethiek,Very Good,De student heeft oog voor ethische overwegingen en volgt ethische richtlijnen op.
Ethisch handelen,Integriteit & ethiek,Excellent,De student geeft spontaan blijk van ethische overwegingen.
